k,silhouette_score
2,0.8929439188075815
3,0.8401482881688165
4,0.8262207028786404
5,0.7339782161626004
6,0.7012563331726248
7,0.7030352434087553
8,0.6607652602484605
9,0.6618955142916376
10,0.6498539043032293
