,cost,productivity,value,area
0,-0.3043033174114574,-0.3608778092188982,-0.28607806448952583,-0.41722805970696164
1,1.2407642992199877,1.5912426810763838,1.7905769680472916,1.8025237044764009
2,12.745508025011421,13.069878521037978,9.601077071577658,9.025654067388974
3,5.756021904431169,4.664133475312707,6.294363625920745,6.470943258618027
4,0.2432618371586861,0.3338775141731016,0.0055910431822444595,0.478383622000842
5,0.6725879595912394,0.9324467688455099,0.8964632043505085,1.1439696230409238
6,9.25232440135409,7.461018279079925,9.601077071577658,7.770749236813405
7,-0.10802999648640531,-0.06540856824602827,-0.2173142513006369,-0.030884913827413724
8,3.8223066403438524,3.6254223036955615,3.770239029069302,4.256839805730083
9,2.048931092893792,2.6428784554014264,2.911787603380847,2.5232167877143348
